"FACILITY_ID","Date","EncounterCount","WeekDayName","IsHoliday","MonthName"
"2","2017-05-24","83","Wednesday","False","May"
"2","2017-05-25","77","Thursday","False","May"
"2","2017-05-26","71","Friday","False","May"
"2","2017-05-27","66","Saturday","False","May"
"2","2017-05-28","59","Sunday","False","May"
"2","2017-05-29","65","Monday","True","May"
"2","2017-05-30","72","Tuesday","False","May"
"2","2017-05-31","72","Wednesday","False","May"
"2","2017-06-01","74","Thursday","False","June"
"2","2017-06-02","84","Friday","False","June"
"2","2017-06-03","70","Saturday","False","June"
"2","2017-06-04","68","Sunday","False","June"
"2","2017-06-05","68","Monday","False","June"
"2","2017-06-06","75","Tuesday","False","June"
"2","2017-06-07","77","Wednesday","False","June"
"2","2017-06-08","73","Thursday","False","June"
"2","2017-06-09","80","Friday","False","June"
"2","2017-06-10","80","Saturday","False","June"
"2","2017-06-11","70","Sunday","False","June"
"2","2017-06-12","79","Monday","False","June"
"2","2017-06-13","84","Tuesday","False","June"
"2","2017-06-14","76","Wednesday","False","June"
"2","2017-06-15","70","Thursday","False","June"
"2","2017-06-16","87","Friday","False","June"
"2","2017-06-17","69","Saturday","False","June"
"2","2017-06-18","69","Sunday","False","June"
"2","2017-06-19","70","Monday","False","June"
"2","2017-06-20","69","Tuesday","False","June"
"2","2017-06-21","69","Wednesday","False","June"
"2","2017-06-22","64","Thursday","False","June"
"2","2017-06-23","69","Friday","False","June"
"2","2017-06-24","61","Saturday","False","June"
"2","2017-06-25","61","Sunday","False","June"
"2","2017-06-26","69","Monday","False","June"
"2","2017-06-27","68","Tuesday","False","June"
"2","2017-06-28","69","Wednesday","False","June"
"2","2017-06-29","65","Thursday","False","June"
"2","2017-06-30","70","Friday","False","June"
"2","2017-07-01","71","Saturday","False","July"
"2","2017-07-02","69","Sunday","False","July"
"2","2017-07-03","68","Monday","False","July"
"2","2017-07-04","66","Tuesday","True","July"
"2","2017-07-05","58","Wednesday","False","July"
"2","2017-07-06","60","Thursday","False","July"
"2","2017-07-07","69","Friday","False","July"
"2","2017-07-08","64","Saturday","False","July"
"2","2017-07-09","64","Sunday","False","July"
"2","2017-07-10","66","Monday","False","July"
"2","2017-07-11","67","Tuesday","False","July"
"2","2017-07-12","68","Wednesday","False","July"
"2","2017-07-13","60","Thursday","False","July"
"2","2017-07-14","72","Friday","False","July"
"2","2017-07-15","64","Saturday","False","July"
"2","2017-07-16","64","Sunday","False","July"
"2","2017-07-17","66","Monday","False","July"
"2","2017-07-18","71","Tuesday","False","July"
"2","2017-07-19","75","Wednesday","False","July"
"2","2017-07-20","85","Thursday","False","July"
"2","2017-07-21","79","Friday","False","July"
"2","2017-07-22","74","Saturday","False","July"
"2","2017-07-23","66","Sunday","False","July"
"2","2017-07-24","70","Monday","False","July"
"2","2017-07-25","76","Tuesday","False","July"
"2","2017-07-26","73","Wednesday","False","July"
"2","2017-07-27","78","Thursday","False","July"
"2","2017-07-28","80","Friday","False","July"
"2","2017-07-29","77","Saturday","False","July"
"2","2017-07-30","69","Sunday","False","July"
"2","2017-07-31","81","Monday","False","July"
"2","2017-08-01","84","Tuesday","False","August"
"2","2017-08-02","85","Wednesday","False","August"
"2","2017-08-03","73","Thursday","False","August"
"2","2017-08-04","78","Friday","False","August"
"2","2017-08-05","63","Saturday","False","August"
"2","2017-08-06","69","Sunday","False","August"
"2","2017-08-07","79","Monday","False","August"
"2","2017-08-08","80","Tuesday","False","August"
"2","2017-08-09","85","Wednesday","False","August"
"2","2017-08-10","91","Thursday","False","August"
"2","2017-08-11","86","Friday","False","August"
"2","2017-08-12","82","Saturday","False","August"
"2","2017-08-13","76","Sunday","False","August"
"2","2017-08-14","86","Monday","False","August"
"2","2017-08-15","69","Tuesday","False","August"
"2","2017-08-16","73","Wednesday","False","August"
"2","2017-08-17","85","Thursday","False","August"
"2","2017-08-18","82","Friday","False","August"
"2","2017-08-19","61","Saturday","False","August"
"2","2017-08-20","68","Sunday","False","August"
"2","2017-08-21","69","Monday","False","August"
"2","2017-08-22","83","Tuesday","False","August"
"2","2017-08-23","92","Wednesday","False","August"
"2","2017-08-24","81","Thursday","False","August"
